number,last_number,last_he
942,219,12.0
219,294,15.0
294,853,16.0
853,663,15.0
663,902,11.0
902,535,13.0
535,828,18.0
828,948,21.0
948,902,11.0
902,880,16.0
880,462,12.0
462,468,18.0
468,978,24.0
978,430,7.0
430,503,8.0
503,221,5.0
221,314,8.0
314,297,18.0
297,997,25.0
997,874,19.0
874,822,12.0
822,234,9.0
234,227,11.0
227,567,18.0
567,034,7.0
034,879,24.0
879,900,9.0
900,472,13.0
472,392,14.0
392,683,17.0
683,740,11.0
740,776,20.0
776,531,9.0
531,116,8.0
116,794,20.0
794,818,17.0
818,037,10.0
037,042,6.0
042,265,13.0
265,231,6.0
231,885,21.0
885,143,8.0
143,827,17.0
827,511,7.0
511,485,17.0
485,901,10.0
901,296,17.0
296,049,13.0
049,623,11.0
623,434,11.0
434,251,8.0
251,586,19.0
586,137,11.0
137,447,15.0
447,705,12.0
705,397,19.0
397,389,20.0
389,574,16.0
574,602,8.0
602,496,19.0
496,296,17.0
296,804,12.0
804,807,15.0
807,004,4.0
004,337,13.0
337,087,15.0
087,852,15.0
852,290,11.0
290,878,23.0
878,822,12.0
822,348,15.0
348,472,13.0
472,511,7.0
511,704,11.0
704,538,16.0
538,789,24.0
789,802,10.0
802,051,6.0
051,602,8.0
602,914,14.0
914,959,23.0
959,665,17.0
665,677,20.0
677,000,0.0
000,536,14.0
536,776,20.0
776,883,19.0
883,265,13.0
265,047,11.0
047,125,8.0
125,242,8.0
242,545,14.0
545,798,24.0
798,432,9.0
432,170,8.0
170,044,8.0
044,853,16.0
853,588,21.0
588,333,9.0
333,232,7.0
232,548,17.0
548,885,21.0
885,983,20.0
983,594,18.0
594,048,12.0
048,031,4.0
031,248,14.0
248,765,18.0
765,341,8.0
341,672,15.0
672,036,9.0
036,153,9.0
153,439,16.0
439,465,15.0
465,909,18.0
909,426,12.0
426,109,10.0
109,936,18.0
936,328,13.0
328,335,11.0
335,956,20.0
956,345,12.0
345,877,22.0
877,612,9.0
612,663,15.0
663,068,14.0
068,882,18.0
882,328,13.0
328,362,11.0
362,758,20.0
758,715,13.0
715,293,14.0
293,059,14.0
059,562,13.0
562,444,12.0
444,858,21.0
858,980,17.0
980,061,7.0
061,266,14.0
266,842,14.0
842,046,10.0
046,873,18.0
873,497,20.0
497,493,16.0
493,134,8.0
134,007,7.0
007,695,20.0
695,478,19.0
478,417,12.0
417,373,13.0
373,898,25.0
898,985,22.0
985,999,27.0
999,987,24.0
987,949,22.0
949,103,4.0
103,591,15.0
591,997,25.0
997,989,26.0
989,103,4.0
103,010,1.0
010,018,9.0
018,263,11.0
263,575,17.0
575,281,11.0
281,831,12.0
831,050,5.0
050,575,17.0
575,719,17.0
719,262,10.0
262,670,13.0
670,615,12.0
615,812,11.0
812,575,17.0
575,682,16.0
682,691,16.0
691,608,14.0
608,664,16.0
664,138,12.0
138,217,10.0
217,959,23.0
959,219,12.0
219,770,14.0
770,340,7.0
340,610,7.0
610,789,24.0
789,110,2.0
110,887,23.0
887,845,17.0
845,054,9.0
054,265,13.0
265,252,9.0
252,601,7.0
601,043,7.0
043,405,9.0
405,155,11.0
155,484,16.0
484,010,1.0
010,475,16.0
475,532,10.0
532,361,10.0
361,408,12.0
408,487,19.0
487,780,15.0
780,245,11.0
245,786,21.0
786,123,6.0
123,371,11.0
371,306,9.0
306,674,17.0
674,924,15.0
924,879,24.0
879,500,5.0
500,390,12.0
390,140,5.0
140,249,15.0
249,941,14.0
941,014,5.0
014,003,3.0
003,594,18.0
594,544,13.0
544,853,16.0
853,734,14.0
734,550,10.0
550,943,16.0
943,746,17.0
746,287,17.0
287,464,14.0
464,317,11.0
317,446,14.0
446,112,4.0
112,157,13.0
157,194,14.0
194,060,6.0
060,729,18.0
729,351,9.0
351,168,15.0
168,926,17.0
926,402,6.0
402,796,22.0
796,061,7.0
061,501,6.0
501,464,14.0
464,848,20.0
848,846,18.0
846,416,11.0
416,661,13.0
661,578,20.0
578,060,6.0
060,061,7.0
061,813,12.0
813,531,9.0
531,883,19.0
883,951,15.0
951,894,21.0
894,033,6.0
033,972,18.0
972,135,9.0
135,170,8.0
170,708,15.0
708,626,14.0
626,879,24.0
879,050,5.0
050,632,11.0
632,326,11.0
326,051,6.0
051,347,14.0
347,258,15.0
258,350,8.0
350,362,11.0
362,470,11.0
470,013,4.0
013,315,9.0
315,388,19.0
388,471,12.0
471,792,18.0
792,315,9.0
315,276,15.0
276,849,21.0
849,331,7.0
331,347,14.0
347,670,13.0
670,789,24.0
789,394,16.0
394,219,12.0
219,787,22.0
787,031,4.0
031,298,19.0
298,504,9.0
504,980,17.0
980,758,20.0
758,470,11.0
470,081,9.0
081,211,4.0
211,157,13.0
157,865,19.0
865,608,14.0
608,900,9.0
900,249,15.0
249,418,13.0
418,296,17.0
296,047,11.0
047,466,16.0
466,558,18.0
558,238,13.0
238,922,13.0
922,716,14.0
716,612,9.0
612,136,10.0
136,515,11.0
515,177,15.0
177,040,4.0
040,382,13.0
382,593,17.0
593,750,12.0
750,559,19.0
559,559,19.0
559,487,19.0
487,738,18.0
738,087,15.0
087,243,9.0
243,066,12.0
066,935,17.0
935,891,18.0
891,258,15.0
258,630,9.0
630,526,13.0
526,789,24.0
789,450,9.0
450,936,18.0
936,174,12.0
174,283,13.0
283,505,10.0
505,978,24.0
978,982,19.0
982,871,16.0
871,431,8.0
431,341,8.0
341,539,17.0
539,046,10.0
046,972,18.0
972,005,5.0
005,012,3.0
012,265,13.0
265,330,6.0
330,521,8.0
521,006,6.0
006,798,24.0
798,876,21.0
876,441,9.0
441,488,20.0
488,308,11.0
308,032,5.0
032,587,20.0
587,971,17.0
971,408,12.0
408,094,13.0
094,411,6.0
411,140,5.0
140,020,2.0
020,760,13.0
760,639,18.0
639,128,11.0
128,849,21.0
849,136,10.0
136,527,14.0
527,013,4.0
013,948,21.0
948,801,9.0
801,326,11.0
326,923,14.0
923,145,10.0
145,357,15.0
357,020,2.0
020,096,15.0
096,579,21.0
579,428,14.0
428,754,16.0
754,754,16.0
754,988,25.0
988,756,18.0
756,434,11.0
434,888,24.0
888,667,19.0
667,207,9.0
207,161,8.0
161,793,19.0
793,280,10.0
280,546,15.0
546,741,12.0
741,301,4.0
301,594,18.0
594,237,12.0
237,637,16.0
637,767,20.0
767,173,11.0
